Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-01-01,New York,USA,38,120.0,182.9,24.3,26.0,9.1,153.3,18.6,40,13.2
2024-01-01,Los Angeles,USA,280,38.4,46.9,41.8,34.7,3.78,190.7,-2.2,59,9.5
2024-01-01,London,UK,117,168.1,34.3,81.5,8.2,3.67,105.4,36.3,62,3.4
2024-01-01,Beijing,China,197,96.8,35.4,18.5,39.4,9.51,92.8,29.9,32,1.8
2024-01-01,Delhi,India,187,76.2,226.8,46.9,17.2,1.02,68.4,9.9,55,3.3
2024-01-01,Paris,France,170,217.6,278.0,21.7,45.2,1.77,125.2,37.4,67,1.4
2024-01-01,Tokyo,Japan,177,16.1,296.5,9.5,46.0,3.75,103.4,15.5,43,1.8
2024-01-01,Sydney,Australia,164,42.0,81.8,26.1,18.4,5.48,79.9,-6.8,81,14.3
2024-01-01,São Paulo,Brazil,123,46.7,104.5,6.4,19.7,1.08,49.9,7.1,10,5.3
2024-01-01,Cairo,Egypt,241,103.6,217.9,74.4,16.4,1.25,190.9,37.5,23,14.0
2024-01-02,New York,USA,32,69.7,179.1,28.1,43.2,8.04,114.3,38.2,73,1.7
2024-01-02,Los Angeles,USA,257,43.1,249.5,72.5,26.9,8.65,115.8,26.4,15,5.3
2024-01-02,London,UK,116,86.1,35.2,67.4,16.6,7.95,104.8,6.8,13,13.4
2024-01-02,Beijing,China,269,184.4,198.7,5.3,43.4,3.87,151.4,38.4,16,0.7
2024-01-02,Delhi,India,36,105.1,148.1,18.8,20.7,0.57,148.2,-0.3,88,4.7
2024-01-02,Paris,France,102,106.2,201.2,92.5,10.4,2.34,182.8,3.2,69,2.7
2024-01-02,Tokyo,Japan,106,58.7,270.8,79.0,2.7,0.87,72.0,12.7,66,0.8
2024-01-02,Sydney,Australia,199,146.1,160.3,14.4,5.7,1.76,65.7,-5.5,34,12.3
2024-01-02,São Paulo,Brazil,114,234.1,30.1,57.4,4.5,7.47,82.9,8.0,56,2.0
2024-01-02,Cairo,Egypt,271,123.8,155.5,46.3,35.2,1.16,34.6,-1.5,90,1.5
2024-01-03,New York,USA,251,99.0,102.8,85.5,34.2,2.28,160.9,-7.3,60,12.3
2024-01-03,Los Angeles,USA,291,225.9,97.7,74.0,48.9,0.66,16.9,21.5,65,3.3
2024-01-03,London,UK,244,124.4,211.6,94.0,43.2,1.72,192.8,29.7,63,3.6
2024-01-03,Beijing,China,140,154.6,197.4,27.4,41.4,7.51,161.3,18.3,52,0.9
2024-01-03,Delhi,India,37,103.1,252.0,89.2,42.1,8.81,52.7,9.9,68,8.2
2024-01-03,Paris,France,124,83.3,77.8,20.2,19.8,8.29,57.4,14.0,84,4.5
2024-01-03,Tokyo,Japan,120,23.8,164.6,56.3,27.3,4.38,116.5,19.7,23,10.9
2024-01-03,Sydney,Australia,68,100.8,292.4,6.9,9.1,6.28,19.0,23.2,87,8.2
2024-01-03,São Paulo,Brazil,290,211.9,227.3,31.8,46.9,6.93,180.7,-9.9,37,7.7
2024-01-03,Cairo,Egypt,181,67.9,105.6,23.1,8.1,8.22,136.7,11.2,22,10.4
2024-01-04,New York,USA,171,246.7,190.0,89.8,27.3,1.26,163.8,-7.4,74,12.2
2024-01-04,Los Angeles,USA,187,42.4,122.9,10.6,5.4,8.08,37.4,21.6,47,5.1
2024-01-04,London,UK,289,161.7,17.9,96.9,25.1,7.44,175.1,37.8,73,14.9
2024-01-04,Beijing,China,175,72.1,173.3,51.7,27.8,4.23,106.3,19.3,15,1.2
2024-01-04,Delhi,India,89,155.9,214.6,85.6,17.9,6.42,166.2,-7.9,54,4.3
2024-01-04,Paris,France,297,105.1,29.3,85.8,12.6,4.45,168.0,20.8,37,6.0
2024-01-04,Tokyo,Japan,98,95.0,133.3,65.8,20.6,9.26,122.4,15.7,30,6.1
2024-01-04,Sydney,Australia,256,138.1,272.6,68.6,35.3,0.17,134.7,8.2,90,14.3
2024-01-04,São Paulo,Brazil,81,43.3,101.2,24.8,47.8,1.28,155.5,39.6,80,6.8
2024-01-04,Cairo,Egypt,197,47.2,24.6,98.0,23.3,4.91,29.3,23.6,68,13.9
2024-01-05,New York,USA,169,246.2,98.8,26.2,37.0,2.39,78.6,6.0,88,14.2
2024-01-05,Los Angeles,USA,181,221.7,82.4,40.7,3.5,1.9,25.2,-7.7,27,6.4
2024-01-05,London,UK,261,95.8,31.1,75.7,8.8,7.33,22.5,3.2,51,6.1
2024-01-05,Beijing,China,147,218.2,55.4,52.9,28.8,2.19,140.1,30.1,78,13.7
2024-01-05,Delhi,India,56,29.9,154.9,26.5,35.5,1.54,188.3,-6.3,53,2.8
2024-01-05,Paris,France,35,249.2,179.8,36.8,40.0,1.36,76.6,8.6,25,12.0
2024-01-05,Tokyo,Japan,217,200.5,129.1,41.0,29.5,8.34,116.1,21.8,30,9.8
